numofMFCC,n_fft,Hop_length,Best_hyperparameters,test_accuracy,macro_f1,time
13,2048,512,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.8126811594202898,0.7657258939019108,10.126514911651611
20,2048,512,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.8188405797101449,0.7746296099068903,13.911367654800415
40,2048,512,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.8152173913043478,0.7624025809084695,27.521587133407593
80,2048,512,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.821376811594203,0.7720163630051639,63.81237745285034
