numofMFCC,n_fft,Hop_length,Best_hyperparameters,test_accuracy,macro_f1,time
13,2048,512,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10}",0.8282608695652174,0.7850088492215699,25.50467824935913
20,2048,512,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10}",0.8344202898550724,0.7935920536516509,41.42829895019531
40,2048,512,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10}",0.8333333333333334,0.7890476583316461,72.37202620506287
80,2048,512,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10}",0.8358695652173913,0.7923739302656054,71.49230766296387
