numofMFCC,n_fft,Hop_length,Best_hyperparameters,test_accuracy,time
13,1024,256,"{'C': 0.1, 'kernel': 'poly'}",0.7811594202898551,81.61619353294373
20,1024,256,"{'C': 0.1, 'kernel': 'poly'}",0.797463768115942,80.15288019180298
40,1024,256,"{'C': 0.1, 'kernel': 'rbf'}",0.811231884057971,118.67084383964539
80,1024,256,"{'C': 0.1, 'kernel': 'poly'}",0.8184782608695652,272.0657789707184
