numofMFCC,n_fft,Hop_length,test_accuracy,macro_f1,time
13,1024,512,0.8492753623188406,0.8181018151467182,1.3739824295043945
20,1024,512,0.8557971014492753,0.82481037412034,1.5311708450317383
40,1024,512,0.8583333333333333,0.826895173175641,1.7793009281158447
80,1024,512,0.8605072463768116,0.8275530150512562,2.251751661300659
